x_cm,y_cm,z_cm,kineticEnergy_GeV
-14.6762,0.6601,349.9000,4.2251
-15.2582,1.1851,349.9000,4.2262
-15.4155,-0.8684,349.9000,4.2217
-14.5785,-0.0627,349.9000,4.2225
-17.4193,0.2819,349.9000,4.2223
-14.3144,-0.6795,349.9000,4.2254
-14.4281,-0.4319,349.9000,4.2168
-13.4337,-0.2931,349.9000,4.2255
-14.5585,1.3148,349.9000,4.2088
-15.2505,2.9412,349.9000,4.2225
-14.2556,1.0284,349.9000,4.2180
-14.3204,-1.3044,349.9000,4.2267
-14.6854,-2.5206,349.9000,4.2236
-14.6623,-0.3163,349.9000,4.2183
-14.2085,-0.9502,349.9000,4.2245
-15.2238,0.2982,349.9000,4.2207
-15.3189,-0.6994,349.9000,4.2143
-14.6864,0.9519,349.9000,4.2213
-14.4804,0.0365,349.9000,4.2258
-13.3387,0.4111,349.9000,4.2257
-14.9719,0.2721,349.9000,4.2251
-15.1856,1.7041,349.9000,4.2256
-13.7683,-0.8137,349.9000,4.2213
-15.2365,-0.4510,349.9000,4.2256
-13.9768,-0.4522,349.9000,4.2251
-15.0267,-1.1999,349.9000,4.2083
-14.8234,-0.6980,349.9000,4.2186
-13.6441,-1.0206,349.9000,4.2237
-12.8946,1.2105,349.9000,4.2249
-14.6340,-0.4658,349.9000,4.2229
-15.3881,-0.0806,349.9000,4.2248
-13.8289,-0.3966,349.9000,4.2258
-13.9345,-0.5534,349.9000,4.2225
-16.1023,1.0231,349.9000,4.2244
-14.5167,-0.0196,349.9000,4.2225
-16.5601,-1.1734,349.9000,4.2256
-14.6538,-0.0696,349.9000,4.2248
-13.9231,1.5023,349.9000,4.2173
-15.3905,-1.8914,349.9000,4.2259
-14.8824,1.0832,349.9000,4.2219
-15.1566,1.0860,349.9000,4.2259
-15.5757,1.4790,349.9000,4.2254
-13.9115,0.2771,349.9000,4.2212
-13.5317,-1.5591,349.9000,4.2242
-16.0377,0.5123,349.9000,4.2165
-15.0737,1.2900,349.9000,4.2233
-13.4141,0.6529,349.9000,4.2252
-12.8896,-0.2374,349.9000,4.2235
-15.2196,-0.4033,349.9000,4.2244
-12.9912,0.6718,349.9000,4.2227
-16.2764,-0.6665,349.9000,4.2253
-12.1799,2.5489,349.9000,4.2221
-14.2767,-2.1145,349.9000,4.2217
-14.1488,-0.2665,349.9000,4.2251
-15.2820,-0.6411,349.9000,4.2251
-15.8956,0.6623,349.9000,4.2203
-15.0282,0.2163,349.9000,4.2226
-13.6974,-0.1431,349.9000,4.2248
-14.4020,-0.1083,349.9000,4.2232
-16.4066,0.5996,349.9000,4.2248
-14.5985,0.2390,349.9000,4.2221
-15.0542,1.1799,349.9000,4.2218
-13.7684,-0.6545,349.9000,4.2224
-15.6473,2.1494,349.9000,4.2242
-14.7657,0.5134,349.9000,4.2251
-15.1229,-0.2997,349.9000,4.2134
-15.5236,-0.3636,349.9000,4.2246
-13.3974,-0.8018,349.9000,4.2072
-14.0945,-1.2135,349.9000,4.2198
-14.0228,0.9646,349.9000,4.2179
-15.7288,1.2264,349.9000,4.2229
-12.2829,-0.0988,349.9000,4.2262
-13.0373,0.1729,349.9000,4.2230
-14.0212,1.6332,349.9000,4.2251
-14.1322,-1.4936,349.9000,4.2254
-15.8780,-0.3497,349.9000,4.2257
-14.6653,-0.2725,349.9000,4.2227
-15.2197,0.3488,349.9000,4.2242
-14.9336,0.5075,349.9000,4.2238
-13.8902,1.2736,349.9000,4.2243
-15.5524,1.1225,349.9000,4.2249
-15.0488,0.2554,349.9000,4.2243
-14.3325,-1.2481,349.9000,4.2265
-13.1885,0.2932,349.9000,4.2242
-14.4006,0.1858,349.9000,4.2258
-15.9135,0.5848,349.9000,4.2231
-15.5741,2.0296,349.9000,4.2155
-13.8280,1.2980,349.9000,4.2234
-14.8612,-0.5357,349.9000,4.2221
-13.8989,0.8280,349.9000,4.2143
-14.4072,1.4089,349.9000,4.2205
-13.4643,1.0345,349.9000,4.2252
-15.5257,1.5957,349.9000,4.2252
-14.9961,0.6107,349.9000,4.2203
-15.7388,-0.9720,349.9000,4.2266
-17.1765,0.4945,349.9000,4.2233
-16.3668,-1.5697,349.9000,4.2212
-14.5933,-2.2221,349.9000,4.2243
-2.4479,-7.9308,349.9000,4.2226
-13.9374,0.3548,349.9000,4.2245
-15.0286,0.6101,349.9000,4.2116
-14.2304,0.4287,349.9000,4.2253
-14.0635,-0.5385,349.9000,4.2252
-15.7695,-2.7280,349.9000,4.2225
-15.5464,-1.1566,349.9000,4.2230
-15.4896,0.7380,349.9000,4.2206
-14.8368,-0.0683,349.9000,4.2215
-14.2454,-0.6239,349.9000,4.2235
-14.3291,-0.8738,349.9000,4.2264
-15.1504,0.0525,349.9000,4.2236
-16.4746,-1.2301,349.9000,4.2206
-12.5156,1.0225,349.9000,4.2196
-15.2939,0.8698,349.9000,4.2195
-15.6236,-0.2130,349.9000,4.2223
-15.5072,0.0888,349.9000,4.2272
-13.4876,1.0401,349.9000,4.2159
-12.9918,0.4067,349.9000,4.2242
-14.5938,-0.8177,349.9000,4.2258
-15.0273,-0.2619,349.9000,4.2250
-14.4444,1.1198,349.9000,4.2246
-15.8407,-0.8166,349.9000,4.2250
-14.6733,0.1177,349.9000,4.2263
-13.7904,0.6822,349.9000,4.2261
-15.4459,-0.5838,349.9000,4.2247
-15.0348,1.5526,349.9000,4.2220
-14.5798,-1.7377,349.9000,4.2195
-17.0065,-1.2294,349.9000,4.2246
-15.2589,0.0629,349.9000,4.2201
-16.1949,-7.6426,349.9000,4.1864
-16.0503,-0.7062,349.9000,4.2225
-15.6825,1.8909,349.9000,4.2218
-15.7628,-0.9422,349.9000,4.2199
-15.9909,1.3092,349.9000,4.2244
-14.7609,-0.5119,349.9000,4.2223
-14.0434,-0.2838,349.9000,4.2223
-14.0127,-0.7698,349.9000,4.2213
-15.0887,-2.3924,349.9000,4.2197
-15.1310,2.6926,349.9000,4.2242
-14.9500,0.7092,349.9000,4.2254
-15.7926,-0.5613,349.9000,4.2172
-17.1209,-0.1953,349.9000,4.2244
-15.0648,-1.0680,349.9000,4.2249
-14.3351,0.5792,349.9000,4.2242
-14.4134,-0.1389,349.9000,4.2191
-15.2288,0.7404,349.9000,4.2220
-15.1006,-2.0665,349.9000,4.2246
-12.9614,0.9365,349.9000,4.2260
-13.4650,-0.0343,349.9000,4.2199
-14.1414,1.0742,349.9000,4.2257
-13.8910,-0.5848,349.9000,4.2236
-24.6742,10.3028,349.9000,4.2113
-15.7163,-1.0637,349.9000,4.2189
-14.2891,0.3947,349.9000,4.2214
-14.5116,-0.4609,349.9000,4.2249
-14.6495,0.5109,349.9000,4.2249
-16.3261,0.9355,349.9000,4.2250
-15.4523,0.2601,349.9000,4.2231
-15.8722,-0.7777,349.9000,4.2237
-15.4382,-0.4054,349.9000,4.2249
-13.2645,-4.6511,349.9000,4.2193
-15.4392,1.2794,349.9000,4.2264
-15.7250,-0.8275,349.9000,4.2196
-16.1582,0.0282,349.9000,4.2213
-16.5716,1.3327,349.9000,4.2248
-13.6265,-0.1931,349.9000,4.2210
-15.1211,0.7755,349.9000,4.2247
-13.5943,-0.3000,349.9000,4.2235
-15.6384,0.4238,349.9000,4.2233
-13.9820,0.2606,349.9000,4.2275
-13.8839,-0.6534,349.9000,4.2247
-14.8389,-1.4939,349.9000,4.2245
-14.5228,2.4172,349.9000,4.2214
-13.0376,0.2343,349.9000,4.2187
-13.1480,-1.3632,349.9000,4.2265
-14.2795,-2.2280,349.9000,4.2240
-14.3816,0.5302,349.9000,4.2228
-8.9941,0.5055,349.9000,4.2194
-13.5163,-1.8235,349.9000,4.2246
-14.0167,0.3294,349.9000,4.2234
-16.6486,-0.2462,349.9000,4.2123
-14.2442,1.6632,349.9000,4.2252
-14.3395,0.6644,349.9000,4.2145
-15.8894,1.6582,349.9000,4.2229
-14.6845,-0.4410,349.9000,4.2203
-14.1961,0.2827,349.9000,4.2202
-14.6351,0.6395,349.9000,4.2204
-14.2201,0.1877,349.9000,4.2256
-14.7574,-0.2435,349.9000,4.2231
-14.0370,-2.5793,349.9000,4.2239
-13.1147,-0.8858,349.9000,4.2213
