x_cm,y_cm,z_cm,kineticEnergy_GeV
-12.7640,3.6574,349.9000,4.2013
-14.8434,-0.1547,349.9000,4.2058
-17.4572,1.9984,349.9000,4.2067
-16.4514,-0.4305,349.9000,4.1996
-14.4685,3.0329,349.9000,4.1954
-15.0871,-0.5922,349.9000,4.2043
-14.6190,-1.0587,349.9000,4.1980
-12.7134,1.1059,349.9000,4.2042
-15.2996,2.5139,349.9000,4.1988
-14.4702,1.7726,349.9000,4.2052
-13.0898,-0.1858,349.9000,4.1959
-16.4243,-1.6594,349.9000,4.2019
-14.6428,0.0758,349.9000,4.2005
-16.1370,-0.7275,349.9000,4.2048
-15.1059,1.4186,349.9000,4.2023
-16.4079,1.4468,349.9000,4.2059
-15.5078,0.8557,349.9000,4.2062
-14.8647,-0.6905,349.9000,4.2045
-13.6091,0.5312,349.9000,4.2005
-13.9941,-0.3015,349.9000,4.1911
-15.6549,-0.6425,349.9000,4.2026
-13.7401,0.3166,349.9000,4.2006
-16.6803,-1.9541,349.9000,4.1950
-14.8096,0.4192,349.9000,4.1918
-13.6991,0.5763,349.9000,4.2018
-14.8940,-0.1720,349.9000,4.2075
-15.4984,-0.2932,349.9000,4.1865
-14.3162,1.7956,349.9000,4.1920
-13.4661,-0.7175,349.9000,4.1998
-15.2608,-0.3304,349.9000,4.2034
-15.9629,1.3501,349.9000,4.2051
-13.9152,-2.3051,349.9000,4.2012
-16.6510,-0.7805,349.9000,4.2033
-15.2834,-3.1478,349.9000,4.1940
-14.8106,1.1294,349.9000,4.2075
-14.5571,1.8947,349.9000,4.1961
-13.4667,-0.7711,349.9000,4.2072
-13.9188,0.4993,349.9000,4.2042
-13.8132,-1.6678,349.9000,4.2034
-14.5144,-1.2854,349.9000,4.1935
-14.7815,1.1389,349.9000,4.1904
-14.2148,-1.2816,349.9000,4.2030
-14.8279,1.2269,349.9000,4.1986
-21.1298,-0.1251,349.9000,4.2055
-16.5029,0.9738,349.9000,4.1980
-15.5660,1.1777,349.9000,4.2030
-13.8703,-1.0454,349.9000,4.2051
-14.7517,-1.1846,349.9000,4.1996
-14.5053,-0.5565,349.9000,4.1989
-14.5103,-0.2517,349.9000,4.2047
-14.5582,-0.4030,349.9000,4.2039
-11.6720,1.3808,349.9000,4.2012
-13.4967,0.2526,349.9000,4.1994
-14.8109,-0.6114,349.9000,4.2058
-13.9937,-0.2601,349.9000,4.2017
-14.5489,-2.7964,349.9000,4.2031
-13.2865,-1.3712,349.9000,4.2036
-15.6306,0.2624,349.9000,4.2019
-16.6262,1.2488,349.9000,4.1989
-13.3610,-1.5523,349.9000,4.2041
-11.9921,0.0184,349.9000,4.2007
-15.1610,1.3873,349.9000,4.2062
-14.8426,-3.2854,349.9000,4.2064
-12.7760,0.3801,349.9000,4.2059
-14.7250,-0.2261,349.9000,4.1939
-13.8027,0.6459,349.9000,4.2018
-14.6484,0.4952,349.9000,4.2013
-13.1248,0.9294,349.9000,4.1815
-13.6689,1.6952,349.9000,4.2069
-14.7224,-1.4978,349.9000,4.2044
-16.3393,0.1306,349.9000,4.1982
-13.6296,-0.1763,349.9000,4.1944
-15.4647,-1.9306,349.9000,4.1887
-16.9274,0.5517,349.9000,4.1940
-14.2221,0.6635,349.9000,4.2071
-15.4478,0.1192,349.9000,4.1993
-14.4549,-0.8095,349.9000,4.2016
-16.9856,2.3186,349.9000,4.2024
-15.5484,-1.0139,349.9000,4.2038
-14.6576,-1.4546,349.9000,4.1920
-13.9006,0.6049,349.9000,4.1954
-16.0026,1.2231,349.9000,4.2010
-12.1952,-0.1254,349.9000,4.2054
-13.4964,2.0980,349.9000,4.2039
-16.4764,0.7425,349.9000,4.2060
-13.1947,-0.1155,349.9000,4.2060
-15.7186,-1.5655,349.9000,4.2047
-15.1308,-0.4587,349.9000,4.2056
-13.9561,1.4912,349.9000,4.2053
-14.3885,0.5050,349.9000,4.2068
-13.5309,0.4435,349.9000,4.2015
-14.6456,-1.1761,349.9000,4.2015
-14.4476,1.0655,349.9000,4.2047
-12.5661,-0.2162,349.9000,4.2063
-12.9036,-0.6540,349.9000,4.1971
-15.2229,0.8022,349.9000,4.1905
-12.6388,1.1461,349.9000,4.2029
-14.6585,-0.3796,349.9000,4.1976
-13.8312,1.1377,349.9000,4.2064
-16.2804,0.8496,349.9000,4.2029
-15.3544,-0.7960,349.9000,4.2033
-15.1030,1.4414,349.9000,4.2051
-14.1556,1.1161,349.9000,4.2074
-14.1735,-0.0907,349.9000,4.2050
-16.0652,0.7165,349.9000,4.2042
-14.2142,-1.1405,349.9000,4.1954
-14.4845,-2.1760,349.9000,4.1871
-15.7860,-0.9771,349.9000,4.1833
-14.3161,-1.9140,349.9000,4.2069
-16.2972,-0.7115,349.9000,4.1917
-15.0284,-0.3863,349.9000,4.2057
-12.9128,0.1433,349.9000,4.1972
-16.2589,5.5686,349.9000,4.1930
-14.8704,0.0339,349.9000,4.1967
-13.3191,0.3669,349.9000,4.2027
-14.5776,-0.5501,349.9000,4.2011
-14.5820,0.0221,349.9000,4.2040
-16.3488,-3.3059,349.9000,4.2059
-14.6586,-0.4722,349.9000,4.2040
-13.3696,-0.0455,349.9000,4.2036
-15.7021,1.1103,349.9000,4.2038
-13.7836,0.7436,349.9000,4.2023
-13.0681,3.1249,349.9000,4.2023
-13.5192,-1.9393,349.9000,4.1968
-14.7299,-1.0111,349.9000,4.2038
-15.4059,-0.9840,349.9000,4.2002
-14.4776,-2.1794,349.9000,4.2043
-15.4426,0.2101,349.9000,4.1929
-15.4716,-3.4608,349.9000,4.2036
-14.0483,-1.1444,349.9000,4.2027
-15.0542,-0.9125,349.9000,4.2025
-14.8385,-1.3349,349.9000,4.1920
-13.1420,-0.5345,349.9000,4.2059
-14.1609,-0.3239,349.9000,4.2048
-18.1131,-1.5016,349.9000,4.2039
-13.6147,0.2714,349.9000,4.1981
-13.3119,-1.1055,349.9000,4.2060
-15.6610,-0.0033,349.9000,4.2059
-16.0067,1.1064,349.9000,4.2006
-13.7147,-2.3883,349.9000,4.1900
-14.7061,0.3050,349.9000,4.2005
-14.8944,1.8484,349.9000,4.2049
-15.4809,0.6146,349.9000,4.2019
-14.4044,-1.9008,349.9000,4.2045
-15.8673,1.1817,349.9000,4.1973
-15.7791,0.6072,349.9000,4.2021
-15.0504,-2.2164,349.9000,4.2069
-15.3003,0.8123,349.9000,4.2040
-15.1395,0.0906,349.9000,4.2025
-15.4710,-1.0827,349.9000,4.1852
-15.5437,2.1466,349.9000,4.1987
-14.9797,-0.0286,349.9000,4.2028
